Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,0.893205,0.893205,0.893205,0.893205,0.890763,603177
2020-02-07,1.071566,1.071566,1.071566,1.071566,1.068636,1430257
2020-02-10,1.285036,1.285036,1.285036,1.285036,1.281522,38465934
2020-02-11,1.404411,1.542044,1.341213,1.542044,1.537827,172486525
2020-02-12,1.584176,1.849610,1.572941,1.849610,1.844552,92204277
2020-02-13,2.106617,2.218970,1.966176,2.218970,2.212903,126976310
2020-02-14,2.383286,2.595352,2.249867,2.527941,2.521029,173501633
2020-02-17,2.499852,2.527941,2.022352,2.221779,2.215704,16732350
2020-02-18,2.148749,2.233014,1.966176,2.147345,2.141474,11404554
2020-02-19,2.147345,2.152963,1.966176,1.976007,1.970604,7160428
2020-02-20,1.938088,2.034992,1.744279,1.851014,1.845953,10976332
2020-02-21,1.785007,2.140323,1.724617,2.085551,2.079848,10356720
2020-02-24,1.952132,2.147345,1.909999,2.106617,2.100857,7471996
2020-02-25,2.134705,2.176838,2.019544,2.085551,2.079848,6701261
2020-02-26,2.043419,2.078529,2.015330,2.047632,2.042033,4838538
2020-02-27,1.994264,2.013926,1.893147,1.956345,1.950996,4630486
2020-02-28,1.572941,1.895955,1.567323,1.884720,1.879566,4254279
2020-03-02,1.966176,2.162794,1.938088,2.137514,2.131669,6902413
2020-03-03,2.169816,2.241441,2.070102,2.240036,2.233911,6763458
2020-03-04,2.218970,2.233014,2.148749,2.176838,2.170886,4581434
2020-03-05,2.190882,2.204926,2.126279,2.162794,2.156880,3046478
2020-03-06,2.117852,2.179647,2.092573,2.137514,2.131669,3027659
2020-03-09,2.106617,2.197904,1.968985,2.110830,2.105058,4214746
2020-03-10,2.151558,2.162794,1.909999,1.921235,1.915982,4657145
2020-03-11,1.921235,1.921235,1.921235,1.921235,1.915982,0
2020-03-12,1.685294,1.747088,1.464801,1.464801,1.460796,6760054
2020-03-13,1.460588,1.610860,1.376323,1.610860,1.606455,5971781
2020-03-16,1.529404,1.605242,1.450757,1.572941,1.568640,5403265
2020-03-17,1.602433,1.731639,1.446544,1.664227,1.659676,25327615
2020-03-18,1.606647,1.734448,1.572941,1.667036,1.662478,21558093
2020-03-19,1.636139,1.675463,1.595411,1.615073,1.610657,15174082
2020-03-20,1.624904,1.675463,1.586985,1.643161,1.638668,16059044
2020-03-23,1.571536,1.711977,1.539235,1.616477,1.612057,31074548
2020-03-24,1.685294,1.762536,1.657205,1.749897,1.745112,36962472
2020-03-25,1.789220,1.855227,1.707764,1.776580,1.771722,44284256
2020-03-26,1.776580,1.874889,1.735852,1.839779,1.834748,45433812
2020-03-27,1.842588,1.860845,1.678272,1.689507,1.684887,30250637
2020-03-30,1.683889,1.683889,1.601029,1.615073,1.610657,14375029
2020-03-31,1.650183,1.733044,1.650183,1.716191,1.711498,21344552
2020-04-01,1.661419,1.752705,1.650183,1.667036,1.662478,16260986
2020-04-02,1.685294,1.834161,1.660014,1.834161,1.829146,29493893
2020-04-03,1.895955,1.998477,1.876294,1.914213,1.908979,52252575
2020-04-06,1.943705,2.061676,1.909999,2.020948,2.015422,40864846
2020-04-07,2.050441,2.155772,1.971794,2.036397,2.030828,38280063
